key,year,half_year,lor,total_population,-6,6-15,15-18,18-27,27-45,45-55,55-65,65+
06300629-2022-2,2022,2,06300629,7037,280,506,166,666,1694,884,1088,1753
06300630-2022-2,2022,2,06300630,5643,310,441,177,667,1415,675,811,1147
06300631-2022-2,2022,2,06300631,2989,116,263,78,493,628,398,386,627
06300632-2022-2,2022,2,06300632,14040,756,1487,497,1171,2787,2073,2148,3121
06300633-2022-2,2022,2,06300633,12070,560,1027,322,1107,2613,1532,1911,2998
06300634-2022-2,2022,2,06300634,8489,402,789,278,730,1545,1124,1295,2326
06400735-2022-2,2022,2,06400735,10343,458,1047,341,740,1680,1412,1625,3040
06400736-2022-2,2022,2,06400736,5243,254,566,182,423,799,727,801,1491
06400737-2022-2,2022,2,06400737,11357,470,992,359,1534,2019,1320,1586,3077
06400838-2022-2,2022,2,06400838,7539,337,666,247,567,1068,933,1322,2399
06400839-2022-2,2022,2,06400839,5307,215,482,156,434,833,712,832,1643
06400840-2022-2,2022,2,06400840,7216,289,601,236,680,1118,954,1242,2096
06400841-2022-2,2022,2,06400841,6262,291,509,186,552,1202,648,833,2041
06400842-2022-2,2022,2,06400842,4880,295,614,195,393,987,859,697,840
06400843-2022-2,2022,2,06400843,4751,190,462,179,472,751,647,843,1207
06400844-2022-2,2022,2,06400844,7307,352,681,249,690,1287,983,1031,2034
07100101-2022-2,2022,2,07100101,9904,420,556,171,796,2634,1358,1535,2434
07100102-2022-2,2022,2,07100102,8643,415,599,173,941,2485,1148,1270,1612
07100103-2022-2,2022,2,07100103,7812,417,577,225,859,2291,1100,1100,1243
07100204-2022-2,2022,2,07100204,10446,561,641,235,1011,3166,1347,1596,1889
07100205-2022-2,2022,2,07100205,5250,253,434,180,538,1604,705,672,864
07100206-2022-2,2022,2,07100206,8410,501,570,168,878,2774,1155,1299,1065
07200307-2022-2,2022,2,07200307,10566,469,673,198,992,2873,1307,1684,2370
07200308-2022-2,2022,2,07200308,10560,623,766,224,1101,3561,1326,1244,1715
07200409-2022-2,2022,2,07200409,9313,474,595,180,878,2796,1316,1542,1532
07200410-2022-2,2022,2,07200410,5599,357,485,136,634,1859,717,624,787
07200411-2022-2,2022,2,07200411,2747,153,165,55,287,929,349,429,380
07200412-2022-2,2022,2,07200412,2025,220,140,39,345,975,127,93,86
07200413-2022-2,2022,2,07200413,7758,420,534,152,737,2765,1039,1195,916
07200414-2022-2,2022,2,07200414,3775,226,282,62,406,1358,496,523,422
07300515-2022-2,2022,2,07300515,6911,358,484,165,608,1710,908,1143,1535
07300516-2022-2,2022,2,07300516,8942,417,665,253,965,2298,1184,1410,1750
07300517-2022-2,2022,2,07300517,9519,601,798,254,940,2337,1179,1348,2062
07300618-2022-2,2022,2,07300618,9338,507,690,234,920,2458,1094,1430,2005
07300619-2022-2,2022,2,07300619,12255,708,984,317,1335,3579,1592,1745,1995
07400720-2022-2,2022,2,07400720,11962,625,927,246,1045,3296,1525,1841,2457
07400721-2022-2,2022,2,07400721,6191,343,759,222,683,1452,789,884,1059
07400822-2022-2,2022,2,07400822,3030,187,232,64,282,926,341,440,558
07400823-2022-2,2022,2,07400823,9775,574,649,183,968,2941,1136,1391,1933
07400824-2022-2,2022,2,07400824,7334,478,552,153,713,2284,861,896,1397
07400825-2022-2,2022,2,07400825,7384,463,518,165,837,2435,923,960,1083
07400826-2022-2,2022,2,07400826,5108,259,327,95,431,1242,598,771,1385
07400927-2022-2,2022,2,07400927,11336,711,824,274,1332,3508,1284,1385,2018
07400928-2022-2,2022,2,07400928,3937,251,300,64,442,1530,470,437,443
07501029-2022-2,2022,2,07501029,8443,576,678,166,847,2507,913,1146,1610
07501030-2022-2,2022,2,07501030,8749,454,634,182,852,2558,999,1126,1944
07501031-2022-2,2022,2,07501031,9107,479,577,172,756,2332,1038,1355,2398
07501032-2022-2,2022,2,07501032,5824,368,404,141,559,1437,693,856,1366
07501133-2022-2,2022,2,07501133,8097,415,600,180,780,1993,933,1087,2109
07501134-2022-2,2022,2,07501134,10588,589,838,248,844,2137,1159,1501,3272
07501135-2022-2,2022,2,07501135,2224,110,150,52,211,410,303,341,647
07601236-2022-2,2022,2,07601236,10345,627,1082,347,1133,2357,1181,1309,2309
07601237-2022-2,2022,2,07601237,4761,241,358,149,437,929,630,801,1216
07601238-2022-2,2022,2,07601238,2838,144,292,80,259,503,330,353,877
07601339-2022-2,2022,2,07601339,5722,358,515,158,471,1246,634,669,1671
07601340-2022-2,2022,2,07601340,6558,397,585,181,658,1499,769,820,1649
07601341-2022-2,2022,2,07601341,2252,126,175,58,167,469,262,364,631
07601442-2022-2,2022,2,07601442,10436,564,830,263,925,1973,1342,1646,2893
07601443-2022-2,2022,2,07601443,10960,600,988,310,842,2145,1417,1786,2872
07601544-2022-2,2022,2,07601544,8990,613,850,234,760,2014,1039,1175,2305
07601545-2022-2,2022,2,07601545,8286,462,897,297,904,1698,943,1115,1970
07601546-2022-2,2022,2,07601546,7029,383,572,204,584,1344,944,1250,1748
07601547-2022-2,2022,2,07601547,3928,291,363,109,283,745,461,629,1047
07601548-2022-2,2022,2,07601548,2946,163,285,77,245,495,366,470,845
08100101-2022-2,2022,2,08100101,4718,223,291,80,449,2019,594,581,481
08100102-2022-2,2022,2,08100102,8301,409,511,164,778,3788,995,887,769
08100103-2022-2,2022,2,08100103,7408,401,455,124,576,3499,937,746,670
08100104-2022-2,2022,2,08100104,6595,339,487,166,632,2967,776,700,528
08100105-2022-2,2022,2,08100105,6047,395,460,191,722,2463,592,458,766
08100206-2022-2,2022,2,08100206,9574,462,620,196,961,4340,1107,934,954
08100207-2022-2,2022,2,08100207,7506,445,738,276,847,2377,951,805,1067
08100208-2022-2,2022,2,08100208,12305,661,927,286,1297,5382,1373,1232,1147
08100209-2022-2,2022,2,08100209,8669,405,609,223,1138,3435,1006,887,966
08100310-2022-2,2022,2,08100310,7806,398,551,189,657,3282,1159,840,730
08100311-2022-2,2022,2,08100311,7249,337,414,105,621,3186,1016,887,683
08100312-2022-2,2022,2,08100312,11874,679,771,205,1004,5233,1594,1230,1158
08100313-2022-2,2022,2,08100313,3854,210,271,78,326,1222,542,570,635
08100314-2022-2,2022,2,08100314,8020,395,542,196,809,3667,944,754,713
08100415-2022-2,2022,2,08100415,6531,371,455,118,603,2994,692,653,645
08100416-2022-2,2022,2,08100416,6473,374,472,130,590,2801,716,688,702
08100417-2022-2,2022,2,08100417,9686,578,637,246,1023,4358,1107,949,788
08100418-2022-2,2022,2,08100418,9474,505,568,191,867,4183,1170,904,1086
08100419-2022-2,2022,2,08100419,7270,547,734,217,660,2852,810,706,744
08100520-2022-2,2022,2,08100520,5867,507,747,192,741,1634,649,661,736
08100521-2022-2,2022,2,08100521,9582,626,1261,379,1080,2449,1213,1151,1423
08200622-2022-2,2022,2,08200622,5707,455,563,177,754,1951,704,583,520
08200623-2022-2,2022,2,08200623,6291,423,600,181,618,1699,714,855,1201
08200624-2022-2,2022,2,08200624,8855,518,653,204,920,2603,1031,1245,1681
08200725-2022-2,2022,2,08200725,2526,119,202,74,226,528,329,480,568
08200726-2022-2,2022,2,08200726,6209,359,565,179,506,1446,819,917,1418
08200727-2022-2,2022,2,08200727,7961,383,524,131,707,2103,908,1303,1902
08200728-2022-2,2022,2,08200728,1204,38,93,25,103,226,143,218,358
08200729-2022-2,2022,2,08200729,1897,117,193,51,181,404,301,276,374
08200730-2022-2,2022,2,08200730,3347,116,243,95,321,635,452,543,942
08200831-2022-2,2022,2,08200831,8365,446,633,171,687,1790,1097,1413,2128
08200832-2022-2,2022,2,08200832,11733,669,1025,314,995,2405,1351,1799,3175
08200833-2022-2,2022,2,08200833,8488,464,831,226,880,1956,1066,1106,1959
08300934-2022-2,2022,2,08300934,12605,873,1121,350,1229,2834,1378,1543,3277
08300935-2022-2,2022,2,08300935,7401,398,467,167,588,1627,802,1002,2350
08301036-2022-2,2022,2,08301036,7164,489,590,230,677,1624,751,918,1885
08301037-2022-2,2022,2,08301037,10979,801,1067,301,1188,2677,1268,1441,2236
08401138-2022-2,2022,2,08401138,2862,163,283,97,212,548,314,322,923
08401139-2022-2,2022,2,08401139,4166,220,249,66,412,884,474,659,1202
08401140-2022-2,2022,2,08401140,2697,151,225,86,243,586,313,465,628
08401241-2022-2,2022,2,08401241,8337,453,742,214,805,1563,1060,1305,2195
08401242-2022-2,2022,2,08401242,6870,354,580,201,569,1263,817,1219,1867
08401243-2022-2,2022,2,08401243,10085,598,797,271,872,2057,1214,1603,2673
08401244-2022-2,2022,2,08401244,7300,432,711,172,595,1329,950,1161,1950
08401245-2022-2,2022,2,08401245,3716,250,356,105,360,927,492,525,701
08401246-2022-2,2022,2,08401246,7902,526,749,219,713,1527,991,1243,1934
09100101-2022-2,2022,2,09100101,13336,885,1214,321,976,5166,1972,1460,1342
09100202-2022-2,2022,2,09100202,4349,289,418,97,343,1384,588,552,678
09100203-2022-2,2022,2,09100203,7048,282,345,67,700,2278,748,994,1634
09100304-2022-2,2022,2,09100304,11852,662,716,181,953,3902,1234,1358,2846
09100305-2022-2,2022,2,09100305,4275,255,235,60,409,1741,456,455,664
09100306-2022-2,2022,2,09100306,3163,213,346,123,236,584,384,617,660
09100407-2022-2,2022,2,09100407,8601,451,584,162,629,2138,889,1196,2552
09100408-2022-2,2022,2,09100408,8439,521,693,158,825,2715,961,1151,1415
09100409-2022-2,2022,2,09100409,3984,228,357,151,451,876,646,653,622
09200510-2022-2,2022,2,09200510,7767,540,584,160,1103,3146,763,738,733
09200511-2022-2,2022,2,09200511,13199,885,1143,292,1829,4660,1388,1407,1595
09200512-2022-2,2022,2,09200512,3968,230,272,59,636,1535,384,374,478
09200613-2022-2,2022,2,09200613,10576,750,735,196,1489,4314,941,927,1224
09200614-2022-2,2022,2,09200614,3759,184,290,78,287,846,392,593,1089
09200715-2022-2,2022,2,09200715,3641,371,234,40,669,1579,269,230,249
09200716-2022-2,2022,2,09200716,8021,454,656,152,1043,2412,925,941,1438
09200717-2022-2,2022,2,09200717,9677,565,685,208,956,3041,1142,1300,1780
09200818-2022-2,2022,2,09200818,3754,214,236,54,469,1309,457,441,574
09200819-2022-2,2022,2,09200819,8523,582,801,239,854,2785,955,965,1342
09300920-2022-2,2022,2,09300920,12632,965,1296,350,954,3034,1651,2042,2340
09300921-2022-2,2022,2,09300921,2776,159,268,59,200,652,377,499,562
09300922-2022-2,2022,2,09300922,5929,383,643,190,549,1399,651,1047,1067
09300923-2022-2,2022,2,09300923,8319,652,1006,281,786,1951,1133,1299,1211
09301024-2022-2,2022,2,09301024,3575,309,326,88,410,1024,379,441,598
09301025-2022-2,2022,2,09301025,11619,625,1018,302,1050,2563,1496,1982,2583
09301126-2022-2,2022,2,09301126,8019,527,574,152,532,2270,942,1073,1949
09301227-2022-2,2022,2,09301227,1924,109,149,58,91,346,286,287,598
09301228-2022-2,2022,2,09301228,2658,169,223,56,167,547,352,491,653
09401329-2022-2,2022,2,09401329,10244,406,661,175,605,1939,1178,1856,3424
09401330-2022-2,2022,2,09401330,1905,89,186,46,82,360,264,348,530
09401431-2022-2,2022,2,09401431,5909,343,462,120,382,1256,506,626,2214
09401432-2022-2,2022,2,09401432,1554,109,142,42,90,358,179,266,368
09401433-2022-2,2022,2,09401433,4606,190,317,120,353,979,492,540,1615
09401534-2022-2,2022,2,09401534,7531,543,752,230,748,2299,902,995,1062
09401635-2022-2,2022,2,09401635,6970,334,615,169,354,1336,939,1441,1782
09501736-2022-2,2022,2,09501736,4619,286,344,84,328,1070,572,677,1258
09501737-2022-2,2022,2,09501737,14438,747,1201,381,891,2876,1884,2289,4169
09501838-2022-2,2022,2,09501838,10622,575,893,283,698,2135,1373,1857,2808
09501939-2022-2,2022,2,09501939,6561,444,510,129,622,2193,719,762,1182
09501940-2022-2,2022,2,09501940,2709,187,188,45,290,957,331,307,404
09501941-2022-2,2022,2,09501941,2767,151,142,25,151,785,311,428,774
09502042-2022-2,2022,2,09502042,4185,274,326,86,320,1110,497,544,1028
09502043-2022-2,2022,2,09502043,9177,381,584,193,610,2066,1028,1464,2851
10100101-2022-2,2022,2,10100101,5835,396,614,208,538,1647,650,927,855
10100102-2022-2,2022,2,10100102,3645,243,360,102,319,1054,411,553,603
10100103-2022-2,2022,2,10100103,7805,456,761,221,781,1980,744,1228,1634
10100104-2022-2,2022,2,10100104,7500,491,889,281,758,2066,880,1166,969
10100205-2022-2,2022,2,10100205,1320,141,119,37,244,459,134,134,52
10100206-2022-2,2022,2,10100206,11348,723,1130,342,1152,3093,1104,1273,2531
10100207-2022-2,2022,2,10100207,8243,426,818,227,784,2331,841,1215,1601
10100208-2022-2,2022,2,10100208,9643,501,653,133,937,2563,886,1155,2815
10100209-2022-2,2022,2,10100209,9335,654,938,271,953,2463,894,1008,2154
10100210-2022-2,2022,2,10100210,10865,581,921,326,938,2572,1120,1220,3187
10100311-2022-2,2022,2,10100311,2234,121,169,48,190,605,274,332,495
10100312-2022-2,2022,2,10100312,15293,797,1185,400,1380,3896,1461,1720,4454
10100313-2022-2,2022,2,10100313,4915,250,322,91,468,1183,496,751,1354
10100314-2022-2,2022,2,10100314,6418,301,568,182,457,1444,651,713,2102
10100315-2022-2,2022,2,10100315,7545,463,680,205,715,1895,763,850,1974
10100316-2022-2,2022,2,10100316,3743,311,311,85,200,971,340,529,996
10200417-2022-2,2022,2,10200417,7644,606,1042,297,848,2263,801,1026,761
10200418-2022-2,2022,2,10200418,6558,522,586,176,609,2082,609,992,982
10200419-2022-2,2022,2,10200419,4325,373,481,116,484,1453,424,543,451
10200420-2022-2,2022,2,10200420,7292,542,801,207,612,2097,719,1158,1156
10200421-2022-2,2022,2,10200421,1774,117,174,53,233,576,179,197,245
10200422-2022-2,2022,2,10200422,6701,554,804,211,717,1936,704,911,864
10200423-2022-2,2022,2,10200423,6111,428,696,198,691,2088,699,784,527
10200524-2022-2,2022,2,10200524,11334,919,973,243,1061,3197,1084,2042,1815
10200525-2022-2,2022,2,10200525,5382,466,646,204,468,1483,620,881,614
10200526-2022-2,2022,2,10200526,6189,456,835,268,666,1930,611,774,649
10200627-2022-2,2022,2,10200627,3626,209,263,57,295,1196,358,610,638
10200628-2022-2,2022,2,10200628,6557,592,798,213,579,2030,652,973,720
10200629-2022-2,2022,2,10200629,9112,490,651,181,662,2408,824,1284,2612
10200630-2022-2,2022,2,10200630,6525,332,486,143,411,1360,593,1441,1759
10300731-2022-2,2022,2,10300731,7777,333,551,162,689,1496,882,1412,2252
10300732-2022-2,2022,2,10300732,7122,471,495,150,720,1881,787,1015,1603
10300733-2022-2,2022,2,10300733,5246,427,458,98,526,1560,536,652,989
10300734-2022-2,2022,2,10300734,10596,546,1032,299,558,1976,1427,1999,2759
10400835-2022-2,2022,2,10400835,7907,396,684,197,510,1605,962,1765,1788
10400836-2022-2,2022,2,10400836,3962,207,319,86,293,828,506,735,988
10400837-2022-2,2022,2,10400837,7771,364,737,236,360,1390,1123,1490,2071
10400938-2022-2,2022,2,10400938,10262,583,973,223,533,2079,1306,2155,2410
10400939-2022-2,2022,2,10400939,4482,280,401,88,313,989,556,816,1039
10400940-2022-2,2022,2,10400940,5919,267,530,143,317,1022,789,1253,1598
10400941-2022-2,2022,2,10400941,9817,532,951,277,532,1924,1405,1925,2271
11100101-2022-2,2022,2,11100101,3347,151,266,99,224,635,465,790,717
11100102-2022-2,2022,2,11100102,3045,319,379,91,366,899,321,417,253
11100203-2022-2,2022,2,11100203,9093,687,1017,271,824,2499,908,1482,1405
11100204-2022-2,2022,2,11100204,7207,470,751,216,678,1963,783,1179,1167
11100205-2022-2,2022,2,11100205,6228,417,587,185,519,1586,616,1088,1230
11100206-2022-2,2022,2,11100206,7699,625,871,209,658,2214,735,1075,1312
11100307-2022-2,2022,2,11100307,11773,686,1091,327,906,2829,1113,2017,2804
11100308-2022-2,2022,2,11100308,9665,656,1021,292,853,2497,1036,1533,1777
11100309-2022-2,2022,2,11100309,6491,360,485,152,585,1810,553,909,1637
11200410-2022-2,2022,2,11200410,10296,800,1195,295,779,2755,1129,1434,1909
11200411-2022-2,2022,2,11200411,6913,384,612,191,563,1741,738,915,1769
11200512-2022-2,2022,2,11200512,3981,264,484,147,294,846,481,555,910
11200513-2022-2,2022,2,11200513,10191,704,815,198,945,3618,1253,1197,1461
11200514-2022-2,2022,2,11200514,15790,1015,1400,409,1448,4217,1780,1746,3775
11200515-2022-2,2022,2,11200515,4272,337,330,98,306,1192,530,634,845
11300616-2022-2,2022,2,11300616,6004,321,446,117,541,1763,584,599,1633
11300617-2022-2,2022,2,11300617,4355,256,247,59,362,1090,427,516,1398
11300618-2022-2,2022,2,11300618,3798,209,246,46,436,1290,380,420,771
11300619-2022-2,2022,2,11300619,8676,329,539,177,1325,2467,791,930,2118
11300620-2022-2,2022,2,11300620,11376,682,879,258,1136,3394,1216,1207,2604
11300721-2022-2,2022,2,11300721,6502,398,440,93,1077,2517,704,586,687
11300722-2022-2,2022,2,11300722,10232,672,719,164,897,3996,1100,1037,1647
11300723-2022-2,2022,2,11300723,2728,221,305,78,425,867,437,279,116
11300724-2022-2,2022,2,11300724,4159,232,264,89,410,1691,463,432,578
11300725-2022-2,2022,2,11300725,10059,747,771,196,927,4068,1097,1001,1252
11300826-2022-2,2022,2,11300826,10285,551,793,218,1299,3051,1011,1210,2152
11400927-2022-2,2022,2,11400927,4252,329,433,120,382,1803,618,407,160
11400928-2022-2,2022,2,11400928,2725,233,213,60,243,1248,278,219,231
11400929-2022-2,2022,2,11400929,16644,1137,1264,280,1640,7615,1868,1448,1392
11400930-2022-2,2022,2,11400930,4718,270,204,46,458,1884,465,517,874
11400931-2022-2,2022,2,11400931,6861,320,485,159,679,2078,692,772,1676
11401032-2022-2,2022,2,11401032,6149,315,324,88,757,2283,558,577,1247
11401033-2022-2,2022,2,11401033,6823,480,664,184,665,2210,643,673,1304
11401034-2022-2,2022,2,11401034,3388,217,276,66,340,1071,294,331,793
11401135-2022-2,2022,2,11401135,10925,874,806,225,1062,3089,947,1023,2899
11401136-2022-2,2022,2,11401136,8159,343,319,98,1098,2237,716,1002,2346
11401137-2022-2,2022,2,11401137,8748,570,677,229,813,2348,858,985,2268
11501238-2022-2,2022,2,11501238,4427,408,535,168,332,1470,636,391,487
11501339-2022-2,2022,2,11501339,10405,880,900,193,1173,3551,1179,1177,1352
11501340-2022-2,2022,2,11501340,11192,750,1194,335,776,2819,1450,1595,2273
11501341-2022-2,2022,2,11501341,8705,615,1133,311,801,2494,1259,1032,1060
12100101-2022-2,2022,2,12100101,11058,803,937,301,1241,3548,1239,1346,1643
12100102-2022-2,2022,2,12100102,9842,607,860,300,1255,2882,1216,1293,1429
12100103-2022-2,2022,2,12100103,7615,388,482,143,921,2223,938,1083,1437
12100204-2022-2,2022,2,12100204,8964,546,668,175,1031,2609,996,1142,1797
12100205-2022-2,2022,2,12100205,13841,868,1045,339,1530,3985,1582,1890,2602
12100206-2022-2,2022,2,12100206,4691,266,282,88,422,1319,538,776,1000
12200307-2022-2,2022,2,12200307,2757,138,206,48,284,772,351,437,521
12200308-2022-2,2022,2,12200308,5744,299,389,139,546,1468,619,844,1440
12200309-2022-2,2022,2,12200309,10923,627,919,285,1454,3232,1263,1404,1739
12200310-2022-2,2022,2,12200310,8146,573,819,289,1014,2194,953,987,1317
12200411-2022-2,2022,2,12200411,331,25,31,3,50,71,49,54,48
12200412-2022-2,2022,2,12200412,6361,316,528,145,541,1675,905,927,1324
12200413-2022-2,2022,2,12200413,8145,479,650,224,817,2040,1032,1121,1782
12200414-2022-2,2022,2,12200414,1833,97,149,40,267,390,211,298,381
12200515-2022-2,2022,2,12200515,11036,553,627,187,871,2643,1259,1622,3274
12400616-2022-2,2022,2,12400616,6054,287,540,190,403,889,758,1103,1884
12400617-2022-2,2022,2,12400617,6826,341,596,198,497,1003,927,1324,1940
12400618-2022-2,2022,2,12400618,3787,217,405,85,207,765,423,649,1036
12400619-2022-2,2022,2,12400619,7744,366,651,210,627,1252,944,1331,2363
12400720-2022-2,2022,2,12400720,8540,398,763,254,582,1213,1109,1418,2803
12400721-2022-2,2022,2,12400721,8042,384,805,272,607,1153,1097,1370,2354
12400722-2022-2,2022,2,12400722,8555,398,759,240,603,1365,1133,1430,2627
12400723-2022-2,2022,2,12400723,8171,409,689,236,578,1357,990,1374,2538
12500824-2022-2,2022,2,12500824,9614,429,619,186,841,2022,1189,1598,2730
12500825-2022-2,2022,2,12500825,6896,362,437,132,736,1918,782,1119,1410
12500926-2022-2,2022,2,12500926,5087,234,247,70,490,1153,491,741,1661
12500927-2022-2,2022,2,12500927,6791,407,489,161,612,1372,786,1190,1774
12500928-2022-2,2022,2,12500928,5186,320,403,155,471,1077,649,801,1310
12500929-2022-2,2022,2,12500929,5092,232,512,156,356,877,704,894,1361
12500930-2022-2,2022,2,12500930,10232,463,796,211,1049,2657,1212,1521,2323
12601031-2022-2,2022,2,12601031,3251,133,182,65,272,579,399,593,1028
12601032-2022-2,2022,2,12601032,6054,522,802,247,690,1421,695,658,1019
12601133-2022-2,2022,2,12601133,11448,794,1459,457,1233,2737,1348,1269,2151
12601134-2022-2,2022,2,12601134,15841,1176,1812,594,1736,3578,1761,1789,3395
12601235-2022-2,2022,2,12601235,10676,788,1486,467,1275,2492,1272,1185,1711
12601236-2022-2,2022,2,12601236,3134,134,231,87,320,644,364,469,885
